Day,DOW,is_holiday,Area_code,Avg_tem,High_tem,Low_tem,is_fog,is_rain,is_yellow_dust,is_thunder,is_storm,is_shower,is_snow,is_sport_KBO,is_sport_NBA,is_sport_PREMIER,is_sport_K1,bigmac_local_price,bigmac_dollar_price,Proudct_price_index,Consumer_price_index,KTB_avg_1year,KTB_avg_3year,exchange_rate_dollar,exchange_rate_pound,exchange_rate_euro,kospi,DOMINOPIZZA,BURGERKING,MRPIZZA,BHC,BBQ,GOOBNE,PIZZAHUT,PAPAJOHNS,KFC,NENE,HOSIGI,PIZZAALVOLO,ETANG,PELICANA,TOREORE,MEXI,CHEOGA,BON,ONE,JANG,HAVEN,PIZZAMARU,SEVENTHPIZZA,BBONGDDERAK,DDCK,GANGJUNG,PIZZATHINK,MRBOSSAM,60CHICKEN,CKNIA,REDCAP,NOLBOO,TANGTANG,OPPADAK,GAMARO,NOLBOOBOODAE,TIBA,KANG678,YOUNGGUS,TTOBONGEE,TWOTWO,IMSILCHEESEPIZZA,POPEYES,HOOLALA,VON,CHICKENMARU,DON,CHICKENTHEHOME,NAMJAPIZZA,JOESSANDWICH,BULLOMAN,Delivery365,EBADOM,SMOPER,LOVELETTER,SODAM,BOBBYBOX,HOTSUN,ORAEORAE,TKMOM,LIKECH,SOGONGDONG,PIZZA2001,PIZZAMYUNG,CHAMPIZZA,TWOMARI,YELLOWCHICKEN,HWAR,NOLBOOETC,DASOM,NOLBOOORI,BUONA,BBASASI,GUIGUI
20160401,Friday,0,052-,13.9,20.6,7.7,1,0,0,0,0,0,0,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,19,1,16,5,8,0,0,0,0,2,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,053-,14.4,23.2,5.6,0,0,0,0,0,0,0,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,30,17,16,13,13,3,0,1,6,1,0,1,16,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,054-,,,,,,,,,,,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,24,2,13,5,9,0,0,0,0,4,0,0,24,2,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,055-,,,,,,,,,,,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,60,4,40,1,10,8,0,0,3,4,0,1,13,1,0,4,4,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,061-,,,,,,,,,,,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,10,0,7,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,062-,15.7,25.5,7.8,1,0,0,0,0,0,0,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,33,2,19,10,8,6,0,4,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,063-,,,,,,,,,,,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,28,2,13,4,3,3,0,0,0,1,0,1,0,0,0,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,064-,14.4,18.8,9.8,1,0,0,0,0,0,0,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,3,0,7,0,3,0,0,0,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,010-,,,,,,,,,,,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,5336,3177,3545,3438,2815,5300,0,1381,1107,2273,0,772,1125,977,699,730,824,341,722,428,250,202,105,116,209,183,143,102,0,151,89,67,97,158,257,40,80,102,36,34,140,40,25,45,0,0,54,24,0,6,17,0,5,9,15,1,0,4,3,2,12,0,2,11,0,8,0,0,7,0,0,0,0,0
20160401,Friday,0,111-,,,,,,,,,,,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,167,141,66,55,32,65,0,20,47,34,0,27,31,10,13,11,6,26,21,3,8,0,10,1,4,0,0,3,0,0,6,2,2,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
